date,close,open,high,low,volume
2011-05-23,82.25,82.45,83.15,81.03,3226400
2011-05-24,80.699997,82.88,82.88,80.68,2830400
2011-05-25,81.599998,80.31,82.73,80.26,2246400
2011-05-26,83.129997,80.8,83.81,80.8,1964000
2011-05-27,84.370003,83.54,84.62,83.36,1460800
2011-05-31,88.43,86.8,88.43,85.43,2304800
2011-06-01,82.779999,87.85,88.41,82.54,3848000
2011-06-02,83.260002,83.15,84.05,81.89,1949600
2011-06-03,79.480003,80.34,82.17,79.2,3391200
2011-06-06,77.559998,79.11,80.12,77.47,2228000
2011-06-07,77.110001,78.16,79.06,76.97,2327200
2011-06-08,75.449997,76.58,76.98,74.8,3896800
2011-06-09,75.779999,75.48,76.86,74.78,1836000
2011-06-10,72.300003,74.75,75.26,72.19,2320800
2011-06-13,72.349998,72.61,73.46,71.62,2457600
2011-06-14,75.040001,73.98,75.67,73.96,2438400
2011-06-15,70.940002,73.01,74.31,70.45,3722400
2011-06-16,69.949997,70.98,71.65,68.21,3548800
2011-06-17,69.43,71.93,72.2,68.82,3748800
2011-06-20,70.349998,68.75,71.06,68.75,1967200
2011-06-21,75.040001,71.26,75.18,70.31,3095200
2011-06-22,73.349998,74.04,75.34,73.3,2592000
2011-06-23,75.379997,70.94,75.48,70.28,4827200
2011-06-24,71.410004,74.26,74.49,71.06,3918400
2011-06-27,74.879997,71.75,75.86,71.34,3098400
2011-06-28,78.239998,75.42,78.28,75.14,2403200
2011-06-29,79.220001,78.93,79.6,77.5,2850400
2011-06-30,82.230003,80.05,82.47,79.91,3768000
2011-07-01,86.040001,82.5,86.36,81.79,3196800
2011-07-05,87.279999,86.33,87.56,85.78,3053600
2011-07-06,88.209999,87.06,88.58,86.2,3326400
2011-07-07,91.779999,90.15,92.55,89.83,4462400
2011-07-08,91.019997,89.45,91.05,87.99,6084800
2011-07-11,86.139999,88.24,89.53,85.18,5642400
2011-07-12,84.040001,86.02,86.58,83.92,4193600
2011-07-13,85.160004,85.91,87.72,84.27,4783200
2011-07-14,82.230003,85.91,87.01,81.26,5143200
2011-07-15,85.5,85.06,85.5,83.3,4016800
2011-07-18,84.089996,84.22,85.18,81.7,3528800
2011-07-19,90.019997,86.62,90.15,86.6,6036000
2011-07-20,88.760002,91.45,91.5,88.4,4461600
2011-07-21,90.559998,89.03,92.0,87.6,5467200
2011-07-22,93.370003,90.48,93.73,90.22,3811200
2011-07-25,92.82,91.06,94.3,90.61,3337600
2011-07-26,93.330002,92.51,94.46,92.07,4306400
2011-07-27,86.25,91.63,91.8,85.6,6002400
2011-07-28,86.709999,86.41,89.94,85.39,5141600
2011-07-29,85.870003,84.58,88.54,83.37,6239200
2011-08-01,84.709999,88.98,89.44,81.6,8222400
2011-08-02,78.279999,83.42,84.56,77.95,7375200
2011-08-03,80.309998,78.48,80.71,74.46,7316000
2011-08-04,69.379997,77.0,77.38,69.36,12171200
2011-08-05,67.849998,71.68,72.57,62.17,13243200
2011-08-08,55.93,61.87,65.23,55.8,16060800
2011-08-09,63.59,58.14,63.79,53.59,17744000
2011-08-10,56.09,59.33,62.1,55.76,13482400
2011-08-11,63.290001,58.27,65.21,57.56,11931200
2011-08-12,64.900002,64.73,66.05,62.47,10428800
2011-08-15,67.699997,65.71,67.72,64.81,6312000
2011-08-16,65.959999,65.86,67.72,63.38,6276800
2011-08-17,64.889999,66.36,67.94,62.88,8843200
2011-08-18,55.48,59.6,59.62,53.69,13696800
2011-08-19,52.369999,53.59,57.62,52.2,11972000
2011-08-22,52.84,56.05,56.17,52.41,9019200
2011-08-23,59.380001,53.97,59.42,53.35,11922400
2011-08-24,60.779999,59.07,61.12,57.48,8215200
2011-08-25,57.860001,60.65,61.51,57.22,6357600
2011-08-26,62.040001,57.34,62.75,55.57,9267200
2011-08-29,67.32,64.0,67.55,64.0,9436000
2011-08-30,68.690002,66.6,69.89,65.5,9539200
2011-08-31,69.089996,69.96,71.59,67.29,10685600
2011-09-01,67.139999,69.54,71.15,66.75,8243200
2011-09-02,62.439999,63.36,64.35,61.37,6422400
2011-09-06,62.43,58.03,62.71,57.6,7085600
2011-09-07,67.150002,65.14,67.2,64.61,6670400
2011-09-08,66.220001,66.08,69.04,65.63,8293600
2011-09-09,61.860001,65.0,65.71,60.62,8652000
2011-09-12,64.18,59.82,64.32,59.69,9988000
2011-09-13,66.669998,64.92,67.16,64.02,11676800
2011-09-14,69.550003,67.83,71.9,65.76,9734400
2011-09-15,72.709999,71.96,73.05,69.78,9807200
2011-09-16,74.610001,73.28,74.92,72.78,10259200
2011-09-19,74.800003,71.97,75.95,70.08,10310400
2011-09-20,73.739998,75.88,77.69,73.27,9964800
2011-09-21,69.989998,74.89,76.02,69.93,9768800
2011-09-22,63.18,64.67,66.43,60.1,13977600
2011-09-23,65.150002,61.57,65.95,61.44,10896000
2011-09-26,67.360001,66.16,67.72,61.8,10291200
2011-09-27,69.419998,70.9,72.6,68.1,10792800
2011-09-28,66.150002,70.4,71.76,65.95,11216000
2011-09-29,64.190002,69.49,69.66,60.76,14023200
2011-09-30,59.200001,61.65,63.06,59.0,11977600
2011-10-03,54.560001,57.52,60.32,54.48,17110400
2011-10-04,57.880001,52.86,58.23,51.25,28720000
2011-10-05,62.279999,57.48,62.85,56.15,21690400
2011-10-06,65.48,62.2,65.48,61.29,2377314
2011-10-07,64.129997,65.29,66.25,62.9,12015200
2011-10-10,70.709999,67.4,70.71,67.12,9040000
2011-10-11,72.220001,70.22,72.72,69.88,8372800
2011-10-12,73.379997,74.37,75.75,73.14,10789600
2011-10-13,75.349998,72.94,75.63,72.69,7798400
2011-10-14,79.5,78.21,79.5,76.92,7978400
2011-10-17,75.82,78.37,79.11,74.56,45597600
2011-10-18,78.57,75.55,79.85,73.37,11908000
2011-10-19,74.040001,77.56,78.07,73.35,10093600
2011-10-20,73.099998,73.87,74.24,69.85,8465600
2011-10-21,75.699997,75.31,77.12,73.71,7851200
2011-10-24,80.43,76.59,81.04,76.34,8223200
